Name of Munch/Social,Munch/Social Borough & Location,"Munch/Social Hosts & Leaders",Munch/Social Information,Munch/Social Social Media,Munch/Social Cadence,Munch/Social Schedule,Munch/Social Cost of Entry,Munch/Social Age Restriction,Open to everyone?,"Munch/Social Main Audience",Munch/Social Status,Munch/Social Notes
Uptown/Bronx Munch,Bronx,"@AuntieMisha
@GregCuffs",@AuntieMisha,Uptown/Bronx Munch Group,Once a month,Usually the second Saturday of the month,Free,21 years old and up,Yes,Kink/BDSM,Active,Munch location is held either in Uptown Manhattan or the Bronx
Park Slope & Gowanus Munch,Brooklyn,"@IvySwing
@BrooklynChillin",@ParkSlopeGowanus,@ParkSlopeGowanus,Once a month,Every last Wednesday of the month,Free,21 years old and up,Yes,Kink/BDSM,Active,"If it's your first time attending the munch, you'll recieve a vetting form via a Fetlife DM 
Make sure your Fetlife profile and form answers are thoughtful"
Bay Ridge Munch,Brooklyn,"@Bossy_SwitcHer
@SM1022",@Bossy_SwitcHer,"Bay Ridge, BK Kinksters",Once a month,Every second Sunday of the month,Free,21 years old and up,Yes,Kink/BDSM,Active,"Kinky toy maker & vendor @FluerDeLis_J4U usually sells toys, tools, and art at this munch
His Fetlife profile can be found here - https://fetlife.com/users/18787146"
Coney Island Munch,Brooklyn,"@MxVenn
@MistresAphrodite",@MxVenn,Coney Island Kinksters,Once a month,Usually meets every third or fourth Saturday of the month,Free,21 years old and up,Yes,Kink/BDSM,Inactive,"If it's your first time attending the munch, you'll recieve a vetting form via a Fetlife DM 
Make sure your Fetlife profile and form answers are thoughtful"
Hello Brooklyn Munch,Brooklyn,@bas_tha_bear,Hello Brooklyn Munch,Hello Brooklyn Munch,Once a month,,Free,21 years old and up,No,BIPOC,Unsure,"Munch focused on people who identify as people of color with a focus on the African diaspora
To provide fellowship and support for people of color in the BDSM lifestyle"
NYC Poly Black N Friends Munch,Brooklyn,@graciousjoy,@graciousjoy,@graciousjoy,Once a month,Every second Friday of the month,Free,21 years old and up,Yes but focused audience,Poly/ENM,Active,Munch focused for people who identify as polyamorous or ethical non-monogamous
Bruise: A Party for Leather Queers,Brooklyn,@daemonumx,@daemonumx,Event Page,Once a month,Every fourth Tuesday of the month ,Free,21 years old and up,No,Queer,Active,"Munch focused on leather queers, even though it says it's a party - it's more of a light party and social but depends on the month 
Follow their instagram for updates on when Bruise is announced"
Taste The Rainbow: sex-positive kinky poly LGBTQ+ mixer,Brooklyn,@Miss__Scorpio,@Miss__Scorpio,Event Page,Once a month,Every first Thursday of the month ,Not free,21 years old and up,Yes,Queer,Active,"Mixer to learn & meet House of Scorpio members, non-members can attend with $10 entry
Follow their website & join their email list for updates - https://www.houseofscorpio.com/events.html"
Power Exchange: BDSM Munch,Brooklyn,@thehouse.nyc,@thehouse.nyc,Event Page,Unknown cadence,,Free,21 years old and up,Yes,Kink/BDSM,Unsure,"Munch is co-hosted by @flureapp & @thehouse.nyc with @the_kinkconsultant to dive into the world of Kink/BDSM
They seem to have a lot of events on different areas not just Kink/BDSM
Follow their website for updates - https://wearethehouse.com/"
Kinky Jewish Munch,Brooklyn,@LadySupernova,@LadySupernova,NYC Kinky Jewish Munch,Unknown cadence,,Free,21 years old and up,Yes but focused audience,Jews/Jewish Identifying,Unsure,"Munch focused on people who identify as Jewish and or with Jewish culture
Last munch was on September/October 2023, event page example here - https://fetlife.com/events/1065199"
